"date","location","count of orders","average click to ship","average ship to porch"
"2022-07-18 00:00:00","HQ DC : HQ DC - goodr.com",3053,1.5499,4.5579
"2022-07-18 00:00:00","HQ DC : HQ DC - sellgoodr",159,1.1815,5.7591
"2022-07-19 00:00:00","HQ DC : HQ DC - goodr.com",3328,0.8926,4.7370
"2022-07-19 00:00:00","HQ DC : HQ DC - sellgoodr",87,2.3577,6.1441
"2022-07-20 00:00:00","HQ DC : HQ DC - sellgoodr",155,3.1569,6.0588
"2022-07-20 00:00:00","HQ DC : HQ DC - goodr.com",2910,0.8865,5.0028
"2022-07-21 00:00:00","HQ DC : HQ DC - sellgoodr",87,2.0919,6.1675
"2022-07-21 00:00:00","HQ DC : HQ DC - goodr.com",2338,0.8634,4.8461
"2022-07-22 00:00:00","HQ DC : HQ DC - goodr.com",2751,2.2819,4.6156
"2022-07-22 00:00:00","HQ DC : HQ DC - sellgoodr",60,3.1784,4.6992
"2022-07-23 00:00:00","HQ DC : HQ DC - sellgoodr",31,2.8292,5.1518
"2022-07-23 00:00:00","HQ DC : HQ DC - goodr.com",2859,2.5641,4.1787
"2022-07-24 00:00:00","HQ DC : HQ DC - goodr.com",3375,1.8855,4.6460
"2022-07-24 00:00:00","HQ DC : HQ DC - sellgoodr",26,2.1441,6.4166
"2022-07-25 00:00:00","HQ DC : HQ DC - goodr.com",3356,0.9717,4.5369
"2022-07-25 00:00:00","HQ DC : HQ DC - sellgoodr",84,1.4617,6.0798
"2022-07-26 00:00:00","HQ DC : HQ DC - goodr.com",1241,0.6170,4.7863
"2022-07-26 00:00:00","HQ DC : HQ DC - sellgoodr",26,2.6025,5.4198
"2022-07-27 00:00:00","HQ DC : HQ DC - goodr.com",1738,0.8570,4.7502
"2022-07-27 00:00:00","HQ DC : HQ DC - sellgoodr",46,1.4338,5.9927
"2022-07-28 00:00:00","HQ DC : HQ DC - goodr.com",1730,0.6173,6.4087
"2022-07-28 00:00:00","HQ DC : HQ DC - sellgoodr",41,0.9054,6.1828
"2022-07-29 00:00:00","HQ DC : HQ DC - goodr.com",2588,1.1185,5.6936
"2022-07-29 00:00:00","HQ DC : HQ DC - sellgoodr",139,1.1978,6.9526
"2022-07-30 00:00:00","HQ DC : HQ DC - goodr.com",2910,3.0207,4.3249
"2022-07-30 00:00:00","HQ DC : HQ DC - sellgoodr",42,2.7559,5.8571
"2022-07-31 00:00:00","HQ DC : HQ DC - sellgoodr",31,1.8091,5.4394
"2022-07-31 00:00:00","HQ DC : HQ DC - goodr.com",3241,2.1377,4.2608
"2022-08-01 00:00:00","HQ DC : HQ DC - goodr.com",2616,1.5094,4.3618
"2022-08-01 00:00:00","HQ DC : HQ DC - sellgoodr",62,2.3319,5.6195
"2022-08-02 00:00:00","HQ DC : HQ DC - goodr.com",2373,0.8494,4.6217
"2022-08-02 00:00:00","HQ DC : HQ DC - sellgoodr",84,1.5475,6.3581
"2022-08-03 00:00:00","HQ DC : HQ DC - sellgoodr",51,2.4517,5.9828
"2022-08-03 00:00:00","HQ DC : HQ DC - goodr.com",2549,0.7437,4.5014
"2022-08-04 00:00:00","HQ DC : HQ DC - sellgoodr",81,1.8513,5.5442
"2022-08-04 00:00:00","HQ DC : HQ DC - goodr.com",2237,0.6345,4.2524
"2022-08-05 00:00:00","HQ DC : HQ DC - sellgoodr",235,2.3205,6.0439
"2022-08-05 00:00:00","HQ DC : HQ DC - goodr.com",2741,1.4179,4.9655
"2022-08-06 00:00:00","HQ DC : HQ DC - goodr.com",2780,2.2637,3.8851
"2022-08-06 00:00:00","HQ DC : HQ DC - sellgoodr",45,2.3203,5.5240
"2022-08-07 00:00:00","HQ DC : HQ DC - goodr.com",3440,1.4004,4.4747
"2022-08-07 00:00:00","HQ DC : HQ DC - sellgoodr",29,1.8045,6.1307
"2022-08-08 00:00:00","HQ DC : HQ DC - goodr.com",2659,0.7965,5.0001
"2022-08-08 00:00:00","HQ DC : HQ DC - sellgoodr",78,1.3685,5.8557
"2022-08-09 00:00:00","HQ DC : HQ DC - goodr.com",2227,0.6709,5.6413
"2022-08-09 00:00:00","HQ DC : HQ DC - sellgoodr",72,0.5821,5.9646
"2022-08-10 00:00:00","HQ DC : HQ DC - goodr.com",2193,0.6583,4.4452
"2022-08-10 00:00:00","HQ DC : HQ DC - sellgoodr",80,0.5525,6.0171
"2022-08-11 00:00:00","HQ DC : HQ DC - goodr.com",2047,0.6238,5.2860
"2022-08-11 00:00:00","HQ DC : HQ DC - sellgoodr",69,0.8278,6.2058
